Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
"     M.Neshat.  Department  of  Computer  Engineering,  Faculty University ",False,False,False,False,False,False
"Islamic Azad of shirvan branch, Iran Phone : + 9805118526851 ",False,False,False,False,False,False
",Fax:+989157005321,E-mail : neshat_mehdi @ yahoo . com. ",False,False,False,False,False,False
A.Adeli.S.Department of computer Engineering University Islamic Azad ,False,False,False,False,False,False
"of shirvan branch, Iran.(student) Phone: +989153846831 ",False,False,False,False,False,False
",Fax:+985842251884 ,E-mail: adeli_ali405@yahoo.com. ",False,False,False,False,False,False
 ,False,False,False,False,False,False
 A Fuzzy Expert System for Heart Disease ,False,False,False,False,False,False
Diagnosis  ,False,False,False,False,False,False
"Ali.Adeli, Mehdi.Neshat ",False,False,False,False,False,False
"Proceedings of the International MultiConference of Engineers and Computer Scientists 2010 Vol I, IMECS 2010, March 17 - 19, 2010, Hong Kong",False,False,False,False,False,False
"Proceedings of the International MultiConference of Engineers and Computer Scientists 2010 Vol I, ",False,False,False,False,False,False
"IMECS 2010, March 17 - 19, 2010, Hong Kong",False,False,False,False,False,False
ISBN: 978-988-17012-8-2    ISSN: 2078-0958 (Print); ISSN: 2078-0966 (Online) ,False,False,False,False,False,False
ISBN: 978-988-17012-8-2    ,True,False,False,True,False,False
ISSN: 2078-0958 (Print); ISSN: 2078-0966 (Online) ,False,False,False,False,False,False
IMECS 2010,True,False,False,True,False,False
IMECS 2010,True,False,False,True,False,False
" In this section, we show the fuzzy expert system ",False,False,False,False,False,False
1. Chest pain: This input variable supports 4 chest pain ,False,False,True,True,False,False
types. We have defined a value in this system for each chest ,False,False,False,False,False,False
e use these values for system testing. Each ,False,False,False,False,False,False
               4=asymptomatic ,False,False,False,False,False,False
2. Blood Pressure: Different values of blood pressure ,False,False,True,True,False,False
TABLE 1.CLASSIFICATION OF SYSTOLIC BLOOD PRESSURE ,True,False,False,False,False,True
INPUT FIELD  RANGE  FUZZY SETS ,True,False,False,True,False,False
Systolic Blood Pressure ,False,False,False,False,False,False
<134 ,False,False,False,False,False,False
  127-153 ,False,False,False,False,False,False
  142-172 ,False,False,False,False,False,False
154> ,False,False,False,False,False,False
Low ,False,False,False,False,False,False
Medium ,False,False,False,False,False,False
High ,False,False,False,False,False,False
Very high  ,False,False,False,False,False,False
 ,False,False,False,False,False,False
 ,False,False,False,False,False,False
 ,False,False,False,False,False,False
 ,False,False,False,False,False,False
 ,False,False,False,False,False,False
FIG. 1. Membership functions of Systolic Blood Pressure ,False,False,False,False,True,False
⎭,False,False,False,False,False,False
⎬,False,False,False,False,False,False
⎫,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎩,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎨,False,False,False,False,False,False
⎧,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎭,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎬,False,False,False,False,False,False
⎫,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎩,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎪,False,False,False,False,False,False
⎨,False,False,False,False,False,False
⎧,False,False,False,False,False,False
