Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
Sumit Bhatia and Praveen Prakash have completed his B. Tech. in ,False,False,False,False,False,False
"Electrical Engineering from Indian Institute of Technology, Roorkee, India ",False,False,False,False,False,False
"in June2008. (e-mail: sumit.summit@gmail.com, pravnuee@gmail.com )   ",False,False,False,False,False,False
"G. N. Pillai was with the Electrical Engineering Department, N. I.T. ",False,False,False,False,False,False
"Kurukshera, India. He is now with the Electrical Engineering Department, ",False,False,False,False,False,False
"Indian Institute of Technology Roorkee, Roorkee (phone: +91-1332-285198, ",False,False,False,False,False,False
"+91-1332-273560,  e-mail: gnathfee@iitr.ernet.in) ",False,False,False,False,False,False
"(, )",False,False,False,False,False,False
ii,False,False,False,False,False,False
x,False,False,False,False,False,False
x,False,False,False,False,False,False
y  where the vectors ,False,False,False,False,False,False
SVM Based Decision Support System for Heart ,False,False,False,False,False,False
Disease Classification with Integer-Coded ,False,False,False,False,False,False
Genetic Algorithm to Select Critical Features ,False,False,False,False,False,False
"Sumit Bhatia, Praveen Prakash, and G.N. Pillai ",False,False,False,False,False,False
"Proceedings of the World Congress on Engineering and Computer Science 2008WCECS 2008, October 22 - 24, 2008, San Francisco, USA",False,False,False,False,False,False
Proceedings of the World Congress on Engineering and Computer Science 2008,False,False,False,False,False,False
"WCECS 2008, October 22 - 24, 2008, San Francisco, USA",False,False,False,False,False,False
ISBN: 978-988-98671-0-2,True,False,False,True,False,False
ISBN: 978-988-98671-0-2,True,False,False,True,False,False
WCECS 2008,True,False,False,True,False,False
WCECS 2008,True,False,False,True,False,False
x,False,False,False,False,False,False
x,False,False,False,False,False,False
i,False,False,False,False,False,False
H,True,False,False,True,False,False
H,True,False,False,True,False,False
y,False,False,False,False,False,False
y,False,False,False,False,False,False
i,False,False,False,False,False,False
H,True,False,False,True,False,False
H,True,False,False,True,False,False
",0xHwx b∈+=  ,wHbR∈∈ ",False,False,False,False,False,False
K,True,False,False,True,False,False
x,False,False,False,False,False,False
"Proceedings of the World Congress on Engineering and Computer Science 2008WCECS 2008, October 22 - 24, 2008, San Francisco, USA",False,False,False,False,False,False
Proceedings of the World Congress on Engineering and Computer Science 2008,False,False,False,False,False,False
"WCECS 2008, October 22 - 24, 2008, San Francisco, USA",False,False,False,False,False,False
ISBN: 978-988-98671-0-2,True,False,False,True,False,False
ISBN: 978-988-98671-0-2,True,False,False,True,False,False
