Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
*,False,False,False,False,False,False
a,False,False,False,False,False,False
"Department of Informatics, Firat University, 23119 Elazig, Turkey",False,False,False,False,False,False
b,False,False,False,False,False,False
"Department of Electronics and Computer Science, Firat University, 23119 Elazig, Turkey",False,False,False,False,False,False
article info,False,False,False,False,False,False
Keywords:,False,False,False,False,False,False
Heart disease,False,False,False,False,False,False
SAS base software,False,False,False,False,False,False
Neural networks,False,False,False,False,False,False
Ensemble based model,False,False,False,False,False,False
abstract,False,False,False,False,False,False
"In the last decades, several tools and various methodologies have been proposed by the researchers for",False,False,False,False,False,False
"developing effective medical decision support systems. Moreover, new methodologies and new tools",False,False,False,False,False,False
are continued to develop and represent day by day. Diagnosing of the heart disease is one of the impor-,False,False,False,False,False,False
tant issue and many researchers investigated to develop intelligent medical decision support systems to,False,False,False,False,False,False
"improve the ability of the physicians. In this paper, we introduce a methodology which uses SAS base",False,False,False,False,False,False
software 9.1.3 for diagnosing of the heart disease. A neural networks ensemble method is in the centre,False,False,False,False,False,False
of the proposed system. This ensemble based methods creates new models by combining the posterior,False,False,False,False,False,False
"probabilities or the predicted values from multiple predecessor models. So, more effective models can",False,False,False,False,False,False
be created. We performed experiments with the proposed tool. We obtained 89.01% classiﬁcation accu-,False,False,False,False,False,False
racy from the experiments made on the data taken from Cleveland heart disease database. We also,False,False,False,False,False,False
"obtained 80.95% and 95.91% sensitivity and speciﬁcity values, respectively, in heart disease diagnosis.",False,False,False,False,False,False
Ó 2008 Elsevier Ltd. All rights reserved.,False,False,False,False,False,False
1. Introduction,False,False,True,True,False,False
"Heart disease, which is usually called coronary artery disease",False,False,False,False,False,False
"(CAD), is a broad term that can refer to any condition that affects",False,False,False,False,False,False
the heart (http://yourtotalhealth.ivillage.com/heart-disease-fast-,False,False,False,False,False,False
"facts.html, 2008). CAD is a chronic disease in which the coronary",False,False,False,False,False,False
arteries gradually harden and narrow and the most common form,False,False,False,False,False,False
of cardiovascular disease in the United States and the leading cause,False,False,False,False,False,False
"of heart attacks. Moreover, cardiovascular disease is the leading",False,False,False,False,False,False
"killer of American women, causing almost 500,000 deaths every",False,False,False,False,False,False
year (http://yourtotalhealth.ivillage.com/heart-disease-fast-facts.,False,False,False,False,False,False
"html, 2008).",False,False,False,False,False,False
While many people with heart disease have symptoms such as,False,False,False,False,False,False
"chest pain and fatigue, as many as 50% have no symptoms until a",False,False,False,False,False,False
heart attack occurs. According to the American heart association,False,False,False,False,False,False
"(AHA), CAD is the leading killer of American men and women,",False,False,False,False,False,False
responsible for more than one of every ﬁve deaths in 2001,False,False,False,False,False,False
"(http://www.americanheart.org, 2008). Many statistics show CAD",False,False,False,False,False,False
