Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
"Bestmod, Institut Supérieur de Gestion",False,False,False,False,False,False
"Tunis, Tunisia",False,False,False,False,False,False
hanene.bouali@gmail.com,False,False,False,False,False,False
"Bestmod, Institut Supérieur de Gestion",False,False,False,False,False,False
"Tunis, Tunisia",False,False,False,False,False,False
j.akaichi@gmail;com,False,False,False,False,False,False
Abstract--Common stream mining tasks include ,False,False,False,True,False,False
"classification, clustering and frequent pattern mining among ",False,False,False,False,False,False
them; data stream classification has drawn particular ,False,False,False,False,False,False
attention due to its vast real-time application. Through these ,False,False,False,False,False,False
"applications, the main goal is to efficiently build classification ",False,False,False,False,False,False
models from data streams for accurate prediction. The ,False,False,False,False,False,False
development of such model has shown the need for machine ,False,False,False,False,False,False
learning techniques to be applied to large scale data. A range ,False,False,False,False,False,False
of machine learning techniques exists and the selection of the ,False,False,False,False,False,False
accurate techniques is based on advantages and limits of each ,False,False,False,False,False,False
one and how these latter well addresses important research ,False,False,False,False,False,False
"techniques. In this paper, we present the comparison of ",False,False,False,False,False,False
different classification techniques using WEKA in order to ,False,False,False,False,False,False
investigate the performance of a collection of classification ,False,False,False,False,False,False
algorithms. This comparison shows the support vector ,False,False,False,False,False,False
machine performance with higher accuracy and better results ,False,False,False,False,False,False
when classifying our dataset. ,False,False,False,False,False,False
Keywords,False,False,False,False,False,False
-- Dynamic System; Classification; Machine Learning ,False,False,False,False,False,False
techniques; Heart Disease; WEKA ,False,False,False,False,False,False
I. INTRODUCTION,True,True,False,True,False,False
A major problem in bioinformatics analysis or medical ,False,False,False,False,False,False
science is in attaining the correct diagnosis of certain ,False,False,False,False,False,False
"important information. For the ultimate diagnosis, many ",False,False,False,False,False,False
tests generally involve the classification of large dataset. ,False,False,False,False,False,False
"However, too many tests may complicate the main diagnosis ",False,False,False,False,False,False
process and lead to difficulty in obtaining and interpreting ,False,False,False,False,False,False
end results. This kind of difficulty may be solved using the ,False,False,False,False,False,False
machine learning.,False,False,False,False,False,False
Machine learning techniques can extract flexible and ,False,False,False,False,False,False
comprehensible knowledge from large dataset. They also ,False,False,False,False,False,False
"require knowledge for their effective use, but are less ",False,False,False,False,False,False
complicated to employ and their results are more ,False,False,False,False,False,False
comprehensible to users. Machine learning techniques can ,False,False,False,False,False,False
"deal with a mix of quantitative, qualitative, missing or noisy ",False,False,False,False,False,False
data so common on engineering. ,False,False,False,False,False,False
Machine learning algorithms are described as either ,False,False,False,False,False,False
supervised or unsupervised. The distinction is drawn from ,False,False,False,False,False,False
"how the learner classifies data. In supervised learning, which ",False,False,False,False,False,False
"referred also to classification, the classes are predetermined. ",False,False,False,False,False,False
"These classes can be conceived of as a finite set, previously ",False,False,False,False,False,False
"arrived at by human. In practice, a certain segment of data ",False,False,False,False,False,False
will be labeled with these classifications. The machine ,False,False,False,False,False,False
learner’s task is to search for patterns and construct models. ,False,False,False,False,False,False
