Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
Classification of Heart Disease Using K- Nearest Neighbor and ,False,False,False,False,False,False
Genetic Algorithm ,False,False,False,False,False,False
M.Akhil jabbar* B.L Deekshatulu,False,False,False,False,False,False
a  ,False,False,False,False,False,False
Priti Chandra ,False,False,False,False,False,False
b,False,False,False,False,False,False
 ,False,False,False,False,False,False
*,False,False,False,False,False,False
"Associate Professor,Aurora’s Engineering college,Bhongir,A.P,INDIA",False,False,False,False,False,False
   ,False,False,False,False,False,False
a,False,False,False,False,False,False
"Distinguished Fellow IDRBT,INDIA ",False,False,False,False,False,False
                b,False,False,False,False,False,False
* Corresponding author. Tel.: +9912648686 ,False,False,False,False,False,False
E-mail address:jabbar.meerja@gmail.com ,False,False,False,False,False,False
"senior scientist,ASL,DRDO, INDIA ",False,False,False,False,False,False
Abstract ,False,False,False,True,False,False
Data  mining  techniques  have  been  widely  used  to  mine  knowledgeable  information  from  medical  data  bases.  In  data  mining ,False,False,False,False,False,False
"classification is a supervised learning that can be used to design models describing important data classes, where class attribute is ",False,False,False,False,False,False
"involved in the construction of the classifier. Nearest neighbor (KNN) is very simple, most popular, highly efficient and effective ",False,False,False,False,False,False
"algorithm  for pattern recognition.KNN  is a straight forward classifier,  where samples are  classified based  on  the  class  of their ",False,False,False,False,False,False
"nearest  neighbor.  Medical  data  bases  are  high  volume  in  nature.  If  the  data  set  contains  redundant  and  irrelevant  attributes, ",False,False,False,False,False,False
classification  may produce  less  accurate result. Heart  disease  is  the  leading  cause  of  death in INDIA.  In  Andhra  Pradesh heart ,False,False,False,False,False,False
"disease was the leading cause of mortality accounting for 32%of all deaths, a rate as high as Canada (35%) and USA.Hence there ",False,False,False,False,False,False
is a need to define a decision support system that helps clinicians decide to take precautionary steps. In this paper we propose a ,False,False,False,False,False,False
new  algorithm  which  combines  KNN  with  genetic  algorithm  for  effective  classification.  Genetic  algorithms  perform  global ,False,False,False,False,False,False
search in complex large and multimodal landscapes and provide optimal solution. Experimental results shows that our algorithm ,False,False,False,False,False,False
