Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
,False,False,False,False,False,False
__________________________________ ,False,False,False,False,False,False
Decision Support System for Heart Disease based on Support Vector Machine and ,False,False,False,False,False,False
Artificial Neural Network ,False,False,False,False,False,False
"Mrudula Gudadhe, Kapil Wankhade ",False,False,False,False,False,False
"Snehlata Dongre, Lecturer ",False,False,False,False,False,False
Abstract—The medical diagnosis process can be interpreted as a ,False,False,False,True,False,False
"decision making process, during which the physician induces the ",False,False,False,False,False,False
diagnosis of a new and unknown case from an available set of ,False,False,False,False,False,False
clinical data and from his/her clinical experience. This process ,False,False,False,False,False,False
can be computerized in order to present medical diagnostic ,False,False,False,False,False,False
"procedures in a rational, objective, accurate and fast way. This ",False,False,False,False,False,False
paper presents a decision support system for heart disease ,False,False,False,False,False,False
classification based on support vector machine (SVM) and ,False,False,False,False,False,False
Artificial Neural Network (ANN). A multilayer perceptron ,False,False,False,False,False,False
neural network (MLPNN) with three layers is employed to ,False,False,False,False,False,False
develop a decision support system for the diagnosis of heart ,False,False,False,False,False,False
disease. The multilayer perceptron neural network is trained by ,False,False,False,False,False,False
back-propagation algorithm which is computationally efficient ,False,False,False,False,False,False
method. Results obtained show that a MLPNN with back-,False,False,False,False,False,False
propagation can be successfully used for diagnosing heart disease ,False,False,False,False,False,False
than support vector machine. ,False,False,False,False,False,False
"Keywords-back-propagation, clinical decision support system, ",False,False,False,False,False,False
"heart disease, multilayer perceptron, support  vector machine. ",False,False,False,False,False,False
NTRODUCTION,True,False,False,True,False,False
UPPORT ,True,False,False,True,False,False
ECTOR ,True,False,False,True,False,False
ACHINE,True,False,False,True,False,False
,False,False,False,False,False,False
,False,False,False,False,False,False
"1, ",False,False,False,False,False,False
1,False,False,False,False,False,False
"2, ",False,False,False,False,False,False
2,False,False,False,False,False,False
"D, ",True,False,False,True,False,False
D,True,False,False,True,False,False
i ,False,False,False,False,False,False
i. ,False,False,False,False,False,False
i ,False,False,False,False,False,False
i ,False,False,False,False,False,False
1,False,False,False,False,False,False
i ,False,False,False,False,False,False
2,False,False,False,False,False,False
i ,False,False,False,False,False,False
1 ,False,False,False,False,False,False
2 ,False,False,False,False,False,False
i,False,False,False,False,False,False
i ,False,False,False,False,False,False
i,False,False,False,False,False,False
ii,False,False,False,False,False,False
1,False,False,False,False,False,False
"() sgn y , b",False,False,False,False,False,False
yx xx+,False,False,False,False,False,False
=,False,False,False,False,False,False
ªº,False,False,False,False,False,False
=α  ,False,False,False,False,False,False
«»,False,False,False,False,False,False
¬¼,False,False,False,False,False,False
Figure 1. Maximum margin and optimal hyperplane ,False,False,False,False,True,False
1,False,False,False,False,False,False
"() sgn ,",False,False,False,False,False,False
yx yK x x b,False,False,False,False,False,False
=,False,False,False,False,False,False
ªº,False,False,False,False,False,False
=α +,False,False,False,False,False,False
«»,False,False,False,False,False,False
¬¼,False,False,False,False,False,False
i,False,False,False,False,False,False
i,False,False,False,False,False,False
j,False,False,False,False,False,False
i,False,False,False,False,False,False
T,True,False,False,True,False,False
j,False,False,False,False,False,False
i,False,False,False,False,False,False
j,False,False,False,False,False,False
i,False,False,False,False,False,False
T,True,False,False,True,False,False
j ,False,False,False,False,False,False
d,False,False,False,False,False,False
,False,False,False,False,False,False
,False,False,False,False,False,False
i,False,False,False,False,False,False
j,False,False,False,False,False,False
i,False,False,False,False,False,False
j,False,False,False,False,False,False
2,False,False,False,False,False,False
i,False,False,False,False,False,False
j,False,False,False,False,False,False
i,False,False,False,False,False,False
T,True,False,False,True,False,False
j,False,False,False,False,False,False
RTIFICIAL ,True,False,False,True,False,False
EURAL ,True,False,False,True,False,False
ETWORK,True,False,False,True,False,False
Figure 2. Multilayer Perceptron (MLP) ,False,False,False,False,True,False
Figure 3. Function of one node of MLP ,False,False,False,False,True,False
,False,False,False,False,False,False
,False,False,False,False,False,False
XPERIMENTS AND ,True,False,False,True,False,False
ESULTS,True,False,False,True,False,False
i,False,False,False,False,False,False
j,False,False,False,False,False,False
2,False,False,False,False,False,False
Ȗ,True,False,False,True,False,False
TABLE I.  D,True,False,False,False,False,True
ISTRIBUTION OF ,True,False,False,True,False,False
H,True,False,False,True,False,False
EART ,True,False,False,True,False,False
D,True,False,False,True,False,False
ISEASE ,True,False,False,True,False,False
R,True,False,False,True,False,False
ECORDS FOR ,True,False,False,True,False,False
SVM ,True,False,False,True,False,False
Figure 4. Comparison of accuracy rate obtained by training set and test set on ,False,False,False,False,True,False
Real Data ,False,False,False,False,False,False
TABLE II.  D,True,False,False,False,False,True
ISTRIBUTION OF ,True,False,False,True,False,False
H,True,False,False,True,False,False
EART ,True,False,False,True,False,False
D,True,False,False,True,False,False
ISEASE ,True,False,False,True,False,False
R,True,False,False,True,False,False
ECORDS FOR ,True,False,False,True,False,False
ANN ,True,False,False,True,False,False
,False,False,False,False,False,False
,False,False,False,False,False,False
Figure 5. Comparison of accuracy rate obtained by training set and test set on ,False,False,False,False,True,False
Real Data ,False,False,False,False,False,False
ONCLUSION,True,False,False,True,False,False
EFERENCES,True,False,False,True,False,False
"[1] C. M. Bishop, Neural network for pattern recognition, Oxford University ",False,False,False,False,False,False
"Press, Oxford, 1995. ",False,False,False,False,False,False
"[2] B. D. Ripley, Pattern recognition and neural network, Cambridge ",False,False,False,False,False,False
"University Press, Cambridge, 1996. ",False,False,False,False,False,False
"[3] N.  Kumaravel, K. S. Sridhar, N. Nithiyanandam, “Automatic diagnoses ",False,False,False,False,False,False
