Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
a,False,False,False,False,False,False
b,False,False,False,False,False,False
c; ∗,False,False,False,False,False,False
d,False,False,False,False,False,False
c,False,False,False,False,False,False
a,False,False,False,False,False,False
"Ngee Ann Polytechnic, 535 Clementi Road, Singapore, 599 489, Singapore",False,False,False,False,False,False
b,False,False,False,False,False,False
"Karnataka Regional Engineering College, Surathkal, Srinivasnagar, India 574 157",False,False,False,False,False,False
c,False,False,False,False,False,False
"Department of Computer Science, Louisiana State University, 298 Coates Hall, Baton Rouge, LA 70808, USA",False,False,False,False,False,False
d,False,False,False,False,False,False
"CEDT, IISc, Bangalore, India",False,False,False,False,False,False
Abstract,False,False,False,True,False,False
The electrocardiogram is a representative signal containing information about the condition of the heart. The shape and size,False,False,False,False,False,False
"of the P-QRS-T wave, the time intervals between its various peaks, etc. may contain useful information about the nature of",False,False,False,False,False,False
"disease aicting the heart. However, these subtle details cannot be directly monitored by the human observer. Besides, since",False,False,False,False,False,False
"bio-signals are highly subjective, the symptoms may appear at random in the time scale. Therefore, the signal parameters,",False,False,False,False,False,False
"extracted and analysed using computers, are highly useful in diagnostics. This paper deals with the classication of certain",False,False,False,False,False,False
diseases using articial neural network (ANN) and fuzzy equivalence relations. The heart rate variability is used as the base,False,False,False,False,False,False
signal from which certain parameters are extracted and presented to the ANN for classication. The same data is also used for,False,False,False,False,False,False
"fuzzy equivalence classier. The feedforward architecture ANN classier is seen to be correct in about 85% of the test cases,",False,False,False,False,False,False
and the fuzzy classier yields correct classication in over 90% of the cases. ? 2002 Pattern Recognition Society. Published,False,False,False,False,False,False
by Elsevier Science Ltd. All rights reserved.,False,False,False,False,False,False
1. Introduction,False,False,True,True,False,False
Electrocardiography deals with the electrical activity of,False,False,False,False,False,False
the heart. Monitored by placing sensors at the limb extrem-,False,False,False,False,False,False
"ities of the subject, electrocardiogram (ECG) is a record of",False,False,False,False,False,False
the origin and propagation of the electric potential through,False,False,False,False,False,False
cardiac muscles. It is considered a representative signal of,False,False,False,False,False,False
"cardiac physiology, useful in diagnosing cardiac disorders.",False,False,False,False,False,False
The state of cardiac health is generally reected in the,False,False,False,False,False,False
shape of ECG waveform and heart rate. It may contain im-,False,False,False,False,False,False
portant pointers to the nature of diseases aicting the heart.,False,False,False,False,False,False
"However, bio-signals being non-stationary signals, this re-",False,False,False,False,False,False
"ection may occur at random in the time scale. (That is,",False,False,False,False,False,False
∗,False,False,False,False,False,False
"the disease symptoms may not show up all the time, but",False,False,False,False,False,False
would manifest at certain irregular intervals during the day.),False,False,False,False,False,False
"Therefore, for eective diagnostics, the study of ECG pat-",False,False,False,False,False,False
tern and heart rate variability signal (instantaneous heart rate,False,False,False,False,False,False
against time axis) may have to be carried out over several,False,False,False,False,False,False
"hours. Thus, the volume of the data being enormous, the",False,False,False,False,False,False
"study is tedious and time consuming. Naturally, the possibil-",False,False,False,False,False,False
ity of the analyst missing (or misreading) vital information,False,False,False,False,False,False
"is high. Therefore, computer-based analysis and classica-",False,False,False,False,False,False
tion of diseases can be very helpful in diagnostics.,False,False,False,False,False,False
The present paper makes use of heart rate variability,False,False,False,False,False,False
(HRV) as the base signal for analysis and classication of,False,False,False,False,False,False
diseases. The heart rate is evaluated by measuring the time,False,False,False,False,False,False
interval between the successive R-peaks (R–R interval) of,False,False,False,False,False,False
the ECG waveform. It is known that almost all the useful,False,False,False,False,False,False
"frequency components in ECG signal falls below 40 Hz [1],",False,False,False,False,False,False
and therefore sampled at the rate of 200 samples=s. The heart,False,False,False,False,False,False
"rate, plotted against the time scale provides the HRV signal,",False,False,False,False,False,False
from which certain parameters are extracted for classica-,False,False,False,False,False,False
"tion [2,3].",False,False,False,False,False,False
2. Neural network classier,False,False,True,True,False,False
Articial neural networks (ANN) are biologically in-,False,False,False,False,False,False
spired networks—inspired by the human brain in its orga-,False,False,False,False,False,False
nization of neurons and decision making process—which,False,False,False,False,False,False
"are useful in application areas such as pattern recognition,",False,False,False,False,False,False
"classication, etc. [4]. The decision making process of the",False,False,False,False,False,False
"ANN is more holistic, based on the aggregate of entire",False,False,False,False,False,False
"input patterns, whereas the conventional computer has to",False,False,False,False,False,False
wade through the processing of individual data elements to,False,False,False,False,False,False
arrive at a conclusion.,False,False,False,False,False,False
The neural networks derive their power due to their mas-,False,False,False,False,False,False
"sively parallel structure, and an ability to learn from expe-",False,False,False,False,False,False
rience. They can be used for fairly accurate classication,False,False,False,False,False,False
"of input data into categories, provided they are previously",False,False,False,False,False,False
trained to do so. The accuracy of the classication depends,False,False,False,False,False,False
"on the ecacy of training, which in turn depends upon the",False,False,False,False,False,False
rigor and depth of the training. The knowledge gained by,False,False,False,False,False,False
