Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
Abstract—Coronary heart disease (CHD) is one of the major,False,False,False,True,False,False
causes of disability in adults as well as one of the main causes of,False,False,False,False,False,False
death in the developed countries. Although signiﬁcant progress has,False,False,False,False,False,False
"been made in the diagnosis and treatment of CHD, further inves-",False,False,False,False,False,False
tigation is still needed. The objective of this study was to develop a,False,False,False,False,False,False
data-mining system for the assessment of heart event-related risk,False,False,False,False,False,False
factors targeting in the reduction of CHD events. The risk factors,False,False,False,False,False,False
"investigated were: 1) before the event: a) nonmodiﬁable—age, sex,",False,False,False,False,False,False
"and family history for premature CHD, b) modiﬁable—smoking",False,False,False,False,False,False
"before the event, history of hypertension, and history of diabetes;",False,False,False,False,False,False
"and 2) after the event: modiﬁable—smoking after the event, systolic",False,False,False,False,False,False
"blood pressure, diastolic blood pressure, total cholesterol, high-",False,False,False,False,False,False
"density lipoprotein, low-density lipoprotein, triglycerides, and glu-",False,False,False,False,False,False
"cose. The events investigated were: myocardial infarction (MI),",False,False,False,False,False,False
"percutaneous coronary intervention (PCI), and coronary artery",False,False,False,False,False,False
bypass graft surgery (CABG). A total of 528 cases were collected,False,False,False,False,False,False
"from the Paphos district in Cyprus, most of them with more than",False,False,False,False,False,False
one event. Data-mining analysis was carried out using the C4.5,False,False,False,False,False,False
decision tree algorithm for the aforementioned three events using,False,False,False,False,False,False
"ﬁve different splitting criteria. The most important risk factors,",False,False,False,False,False,False
"as extracted from the classiﬁcation rules analysis were: 1) for MI,",False,False,False,False,False,False
"age, smoking, and history of hypertension; 2) for PCI, family his-",False,False,False,False,False,False
"tory, history of hypertension, and history of diabetes; and 3) for",False,False,False,False,False,False
"CABG, age, history of hypertension, and smoking. Most of these",False,False,False,False,False,False
risk factors were also extracted by other investigators. The highest,False,False,False,False,False,False
"percentages of correct classiﬁcations achieved were 66%, 75%, and",False,False,False,False,False,False
"75% for the MI, PCI, and CABG models, respectively. It is antici-",False,False,False,False,False,False
pated that data mining could help in the identiﬁcation of high and,False,False,False,False,False,False
"low risk subgroups of subjects, a decisive factor for the selection",False,False,False,False,False,False
"of therapy, i.e., medical or surgical. However, further investigation",False,False,False,False,False,False
with larger datasets is still needed.,False,False,False,False,False,False
"Index Terms—Coronary heart disease (CHD), data mining, de-",False,False,False,False,False,False
"cision trees, risk factors.",False,False,False,False,False,False
I. INTRODUCTION,True,True,False,True,False,False
C,True,False,False,True,False,False
ORONARY heart disease (CHD) is the single most com-,False,False,False,False,False,False
"mon cause of death in Europe, responsible for nearly two",False,False,False,False,False,False
